#
# Common words for ES applications
#
</s> 0 0
alpha_A 2 0
alpha_B 2 0
alpha_C 2 0
alpha_D 2 0
alpha_E 2 0
alpha_F 2 0
alpha_G 2 0
alpha_H 2 0
alpha_I 2 0
alpha_J 2 0
alpha_K 2 0
alpha_L 2 0
alpha_M 2 0
alpha_N 2 0
alpha_O 2 0
alpha_P 2 0
alpha_Q 2 0
alpha_R 2 0
alpha_S 2 0
alpha_T 2 0
alpha_U 2 0
alpha_V 2 0
alpha_W 2 0
alpha_X 2 0
alpha_Y 2 0
alpha_Z 2 0
zero 40 0 zeros
zeros 40 80 zero
one 40 0 ones
ones 40 80 one
two 40 0 twos
twos 40 80 two
three 40 0 threes
threes 40 80 three
four 40 0 fours
fours 40 80 four
five 40 0 fives
fives 40 80 five
six 40 0 sixes
sixes 40 80 six
seven 40 0 sevens
sevens 40 80 seven
eight 40 0 eights
eights 40 80 eight
nine 40 0 nines
nines 40 80 nine
ten 40 0 tens
tens 40 80 ten
eleven 40 0 elevens
elevens 40 80 eleven
twelve 40 0 twelves
twelves 40 80 twelve
thirteen 40 0 thirteens
thirteens 40 80 thirteen
fourteen 40 0 fourteens
fourteens 40 80 fourteen
fifteen 40 0 fifteens
fifteens 40 80 fifteen
sixteen 40 0 sixteens
sixteens 40 80 sixteen
seventeen 40 0 seventeens
seventeens 40 80 seventeen
eighteen 40 0 eighteens
eighteens 40 80 eighteen
nineteen 40 0 nineteens
nineteens 40 80 nineteen
twenty 40 0 twenties
twenties 40 80 twenty
thirty 40 0 thirties
thirties 40 80 thirty
forty 40 0 forties
forties 40 80 forty
fifty 40 0 fifties
fifties 40 80 fifty
sixty 40 0 sixties
sixties 40 80 sixty
seventy 40 0 seventies
seventies 40 80 seventy
eighty 40 0 eighties
eighties 40 80 eighty
ninety 40 0 nineties
nineties 40 80 ninety
hundred 40 0 hundreds
hundreds 40 80 hundred
thousand 40 0 thousands
thousands 40 80 thousand
million 40 0 millions
millions 40 80 million
billion 40 0 billions
billions 40 80 billion
trillion 40 0 trillions
trillions 40 80 trillion
mega 40 0 megas
megas 40 80 mega
giga 40 0 gigas
gigas 40 80 giga
tera 40 0 teras
teras 40 80 tera
first 2 0
third 2 0
fourth 2 0
fifth 2 0
sixth 2 0
seventh 2 0
eighth 2 0
ninth 2 0
tenth 2 0
eleventh 2 0
twelfth 2 0
thirteenth 2 0
fourteenth 2 0
fifteenth 2 0
sixteenth 2 0
seventeenth 2 0
eighteenth 2 0
nineteenth 2 0
twentieth 2 0
thirtieth 2 0
fortieth 2 0
fiftieth 2 0
sixtieth 2 0
seventieth 2 0
eightieth 2 0
ninetieth 2 0
hundredth 2 0
thousandth 2 0
billionth 2 0
trillionth 2 0
string 2 0 strings
strings 2 80 string
literal 2 0 literals
literals 2 80 literal
thing 2 0 things
things 2 80 thing
quote 3 1 quotes quoted quoting
quotes 3 89 quote
quoted 1 6 quote
quoting 3 10 quote
take 3 1 takes taken taking
takes 3 89 take
took 1 2 take
taken 1 4 take
taking 3 10 take
work 3 1 works worked
works 3 89 work
worked 1 6 work
next 24 10
previous 4 10
number 2 0 numbers
numbers 2 80 number
amount 2 0 amounts
amounts 2 80 amount
sequence 2 0 sequences
sequences 2 80 sequence
print 3 1 prints printed
prints 3 89 print
printed 1 6 print
position 3 1 positions positioned positioning
positions 3 89 position
positioned 1 6 position
positioning 3 10 position
preposition 2 0 prepositions
prepositions 2 80 preposition
conjunction 2 0 conjunction
conjunctions 2 80 conjunction
refer 1 1 refers referred
refers 1 9 refer
referred 1 6 refer
use 3 1 uses used
uses 3 89 use
used 1 6 use
great 4 10 greater greatest
greater 4 20 great
greatest 4 40 great
small 4 10 smaller smallest
smaller 4 20 small
smallest 4 40 small
representation 2 0 representations
representations 2 80 representation
at 20 0
for 20 0
than 20 0
s 0 0
property 2 0 properties
properties 2 80 property
include 1 1 includes included
includes 1 9 include
included 1 6 include
from 20 0
know 1 1 knows knew known
knows 1 9 know
knew 1 2 know
known 5 14 know
repeat 1 1 repeats repeated
repeats 1 9 repeat
repeated 1 6 repeat
wait 1 1 waits waited waiting
waits 1 9 wait
waited 1 6 wait
waiting 3 10 wait
person 2 0 persons
persons 2 80 person
memory 2 0 memories
memories 2 80 memory
count 3 1 counts counted counting
counts 3 89 count
counted 1 6 count
counting 3 10 count
countable 4 10
uncountable 4 10
measurable 4 10
short 4 10 shorter shortest shortly
shorter 4 20 short
shortest 4 40 short
procedural 4 10
with 20 0
begin 3 1 begins began begun
begins 3 89 begin
began 1 2 begin
begun 1 4 begin
end 3 1 ends ended
ends 3 89 end
ended 1 6 end
equal 4 10
noun 2 0 nouns
adjective 2 0 adjectives
adverb 2 0 adverbs
verb 2 0 verbs
nouns 2 80 noun
adjectives 2 80 adjective
adverbs 2 80 adverb
verbs 2 80 verb
plural 4 10
form 3 1 forms formed
forms 3 89 form
formed 1 6 form
there 80 0
this 80 0
these 80 0
those 80 0
my 100 0
your 100 0
its 100 0
his 100 0
our 100 0
their 100 0
mine 80 0
yours 80 0
hers 80 0
ours 80 0
theirs 80 0
myself 80 0
yourself 80 0
itself 80 0
himself 80 0
herself 80 0
ourselves 80 0
yourselves 80 0
themselves 80 0
name 3 1 names named # test comment
names 3 89 name
named 1 6 name
blue 4 10
red 4 10
green 4 10
yellow 4 10
cyan 4 10
white 4 10
grey 4 10
pink 4 10
black 4 10
brown 4 10
purple 4 10
violet 4 10
magenta 4 10
turquoise 4 10
orange 6 10 oranges
oranges 2 80 orange
being 2 0 beings
beings 2 80 being
save 3 1 saves saved
saves 3 89 save
saved 1 6 save
"save_state" 2 0
today 2 0
"today" 2 0
"current time" 2 0
current 6 10 currents
currents 2 80 current
yesterday 2 0 yesterdays
yesterdays 2 80 yesterday
tomorrow 2 0 tomorrows
tomorrows 2 80 tomorrow
